Date,Media,Title,Description,URL
5/26/1978,News story,Accord on Mental-Patient Homes,Coverage of site selection law,https://www.nytimes.com/1978/05/26/archives/accord-on-mentalpatient-homes-agreement-on-review-time-could-go-to.html?searchResultPosition=74
3/8/1981,News story,STATE PANEL ASSAILS MANAGEMENT OF A SCHOOL FOR RETARDED,Coverage of CQC report on Greenwood Rehabilitation Center,https://www.nytimes.com/1981/03/08/nyregion/state-panel-assails-management-of-a-school-for-retarded.html?searchResultPosition=54
7/17/1981,News story,PATIENTS' DEATHS TIED TO THE HEAT ARE INVESTIGATED,Coverage of CQC investigation into heat related deaths,https://www.nytimes.com/1981/07/17/nyregion/patients-deaths-tied-to-the-heat-are-investigated.html?searchResultPosition=65
2/28/1982,News story,REPORT ON A DEATH FAULTS S.I. MENTAL CENTER,Coverage of CQC investigation into a restraint death at South Beach PC,https://www.nytimes.com/1982/02/28/nyregion/report-on-a-death-faults-si-mental-center.html?searchResultPosition=10
6/20/1982,News story,STATE SPENDING ON MENTALLY ILL IN CENTERS IS TERMED INFLATED,Coverage of CQC report on Deficit funding,https://timesmachine.nytimes.com/timesmachine/1982/06/20/222121.html?pageNumber=41
8/29/1982,News story,STATE RESIDENCES FOR RETARDED FOUND INFERIOR AND EXPENSIVE,Coverage of CQC study of OMRDD residences,https://www.nytimes.com/1982/08/29/nyregion/state-residences-for-retarded-found-inferior-and-expensive.html?searchResultPosition=21
11/15/1982,Letter to Editor,No more warehouses for the mentally ill,Letter re budget problems and staffing,https://www.nytimes.com/1982/11/26/opinion/l-no-more-warehouses-for-the-mentally-ill-057187.html?searchResultPosition=30
3/8/1983,News story,COURT LIFTS BAN ON GROUP HOME FOR THE RETARDED,Court ruling overturning the use of restrictive covenants to bar group homes,https://www.nytimes.com/1983/03/08/nyregion/court-lifts-ban-on-group-home-for-the-retarded.html?searchResultPosition=44
3/13/1983,News story,BABY-SITTING' OF MENTALLY ILL IS TERMED COSTLY,Coverage of CQC report,https://www.nytimes.com/1983/03/13/nyregion/baby-sitting-of-mentally-ill-is-termed-costly.html?searchResultPosition=56
9/25/1983,News story,INQUIRY CRITICIZES MENTAL HOSPITALS,Coverage of CQC report on use of psychotropic medications at six PCs,https://www.nytimes.com/1983/09/25/nyregion/inquiry-criticizes-mental-hospitals.html?searchResultPosition=66
3/18/1984,News story,MORE FUNDS FOR HOME CARE OF RETARDED URGED,Coverage of report on family support services,https://www.nytimes.com/1984/03/18/nyregion/more-funds-for-home-care-of-retarded-urged.html?searchResultPosition=25
10/14/1984,News story,Group Home problems cited,Coverage of CQC report of problems at the Niagara County ARC facilties,https://timesmachine.nytimes.com/timesmachine/1984/10/14/008996.html?pageNumber=52
4/9/1986,News story,PROGRAM SEEKS TO SPEED MEDICAL AID FOR RETARDED,"Coverage of Surrogate Decision-Making"" program",https://timesunion.newsbank.com/doc/news/107B44570E4FFF01?search_terms=sundram&pub%255B0%255D=KBNB&text=sundram&content_added=&date_from=&date_to=&pdate=1986-04-09
4/10/1986,News story,NEW SYSTEM DESIGNED TO HELP IN CARING FOR THE MENTALLY DISABLED,Coverage of SDMC program,https://timesunion.newsbank.com/doc/news/0FB5D90217D71E34?search_terms=Sundram&text=Sundram&content_added=&date_from=&date_to=&pub%255B0%255D=ATUB&page=3&pdate=1986-04-10
4/22/1986,News story,FAMILY STILL BITTER AFTER PROBE OF TROY SUICIDE,Coverage of CQC investigation of a death,https://timesunion.newsbank.com/doc/news/107B44638C36B334?search_terms=sundram&pub%255B0%255D=KBNB&text=sundram&content_added=&date_from=&date_to=&pdate=1986-04-22
5/15/1986,News story,PSYCHIATRIC CENTER CLEANLINESS SCORED,Coverage of CQC report on living conditions,https://timesunion.newsbank.com/doc/news/107B447B0B449CC9?search_terms=sundram&pub%255B0%255D=KBNB&text=sundram&content_added=&date_from=&date_to=&pdate=1986-05-15
5/28/1986,News story,STATE SURROGATE PANEL DECIDES FIRST CASE,Coverage of SDMC program,https://timesunion.newsbank.com/doc/news/0FB5D94302B82D9D?search_terms=Sundram&text=Sundram&content_added=&date_from=&date_to=&pub%255B0%255D=ATUB&page=2&pdate=1986-05-28
7/26/1986,News story,PSYCHIATRIC PATIENTS' IDLENESS HIT,Report on patient inactivity in psychiatric hospitals,https://timesunion.newsbank.com/doc/news/0FB5D966AAE5AC7C?search_terms=Sundram&text=Sundram&content_added=&date_from=&date_to=&pub%255B0%255D=ATUB&page=3&pdate=1986-06-26
