title,filename
"Parenting With Special Needs: Parents Who Are Mentally Retarded and Their Children,",No file --skip for now
Serving Parents Who Are Mentally Retarded: A Review of Eight Parenting Programs in NYS,No file --skip for now
NYS Residential Services for Children with Emotional Problems: A Call for Reform,No file--Hard copy at NYS Library MEN 960-4 PARSN 93-44051
A Follow-up of Implementation of Commission Recommendations To Improve Medical Care: Craig Developmental Center,Follow up on recommendations to improve medical care at Craig DC
A Follow-up of Implementation of Commission Recommendations to Improve Patient Care: South Beach Psychiatric Center,Follow up of recommendations to improve patient care at South Beach PC
A Review of 32 Office of Mental Health Supervised Community Residences,Review of 32 OMH Community Residences
A Review of Broome Developmental Services,A Review of Broome Developmental Services
A Review of Familial Abuse Allegations of Adults with Developmental Disabilities,A review of familial abuse allegations of adults with developmental disabilities
A Review of Living Conditions in Nine New York State Psychiatric Centers,A Review of Living Conditions at Nine NYS Psychiatric Centers
A Review of Private Residential Facilities for the Mentally Retarded: Their Position in the Continuum of Care for Developmentally Disabled and Mentally Retarded Individuals,a review of private residential facilities for the mentally retarded
A Review of Selected Aspects of Patient Care: Manhattan Psychiatric Center 1979-81,A Review of Selected Aspects of Patient Care at Manhattan PC 1979-81
A Review of Syracuse Developmental Services,a review of Syracuse developmental services
A Review of the Barbara Downes Family Care Home,a review of the Barbara Downs family care home
A Study of the Delays in the Receipt of Medicaid Cards by Patients Discharged from Mental Hygiene Facilities,A study of the delays in the receipt of Medicaid cards by patients discharged from mental hygiene facilities July 1980
Abusing the Unprotected: A Study of the Misuse of Aversive Behavior Modification Techniques and Weaknesses in the Regulatory Structure,abusing the unprotected – a study of the misuse of aversive behavior modification
Admission and Discharge Practices of Psychiatric Hospitals: A Report to the New York State Legislature Pursuant to Chapter 50 of the Laws of 1987,Admission and discharge practices of psychiatric hospitals
"Adult Homes Serving Residents with Mental Illness: A Study of Conditions, Services and Regulations","Adult homes serving residents with mental illness -a study of conditions, services, and regulation"
Allegations without Substantiation: An Investigation into Charges by the Rockland County Medical Examiner,Allegations without Substantiation
An Investigation of Selected Incidents at the Otsego School,An Investigation into selected incidents at Otsego School
