Date,Category,Title,Description,URL
Jun-2007,Policy,"A Review of Assisted Living Programs in ""Impacted"" Adult Homes",This report describes the Commission's review of the programmatic and financial practices of Assisted Living Programs (ALP) operated in 13 adult homes which serve individuals who had received mental hygiene services ("impacted" homes).,
Aug-85,Quality of Care,A review of Living Conditions at Harlem Valley Psychiatric Center,"This report summarizes the findings of an unannounced review of living conditions for patients at Harlem Valley Psychiatric Center conducted by the NYS Commission on Quality of Care in August, 1985",
Aug-85,Quality of Care,A review of Living Conditions at Mid Hudson Psychiatric Center,"This report summarizes the findings of an unannounced review of living conditions for patients at Mid Hudson Psychiatric Center conducted by the NYS Commission on Quality of Care in August, 1985",
Jun-99,Fiscal Investigation,"Abandoning Its Not-For-Profit Purpose: The Case of Project Independence of Queens NY, Inc.","This report documents evidence uncovered by a Commission investigation of wrongful diversion of large amounts of public funds at Project Independence of Queens NY, Inc., and OMRDD-licensed not-for-profit corporation in Jamaica New York, for purposes unrelated to the care and treatment of residents of this program.",
Apr-93,Annual Report,Annual Report 1992-93,Annual Report of the NYS Commission on Quality of Care for the Mentally Disabled,
Apr-94,Annual Report,Annual Report 1993-94,Annual Report of the NYS Commission on Quality of Care for the Mentally Disabled,
Apr-95,Annual Report,Annual Report 1994-95,Annual Report of the NYS Commission on Quality of Care for the Mentally Disabled,
Apr-96,Annual Report,Annual Report 1995-96,Annual Report of the NYS Commission on Quality of Care for the Mentally Disabled,
Apr-97,Annual Report,Annual Report 1996-97,Annual Report of the NYS Commission on Quality of Care for the Mentally Disabled,
Apr-98,Annual Report,Annual Report 1997-98,Annual Report of the NYS Commission on Quality of Care for the Mentally Disabled,
Dec-92,Newsletter,Sex Abuse CQC Newsletter,Newsletter issue devoted to the prevention and investigation of incidents of sexual abuse of persons with mental disabilities in residential faciltites.,
Jul-92,Abuse & Neglect, A Review of Familial Abuse Allegations of Adults with Developmental Disabilities,In this report the Commission called upon local Adult Protective Services offices to play a leadership role in coordinating investigation and protective intervention in response to allegations of abuse or neglect of developmentally disabled adults by family members.,
Mar-80,Quality of Care, A Review of Syracuse Developmental Services,"This Commission undertook the review of Syracuse Development Center in response to complaints by a nurse at the facility, and investigated what was alleged to be the deteriorating quality of resident care and programming. The major issues which emerged were associated with staffing and philosophies of resident care.",
Jun-84,Fiscal Invesigation, Facilities As Fiduciaries: A Review of the Management of Residents' Funds by New York State Mental Hygiene Residential Facilities,"Criticizing certain inappropriate investment, management and expenditure practices of State mental hygiene residential facilities in managing over $35 million in personal funds of their residents, this Commission report called for legislative change and administrative action by the State's Office of Mental Health and Office of Mental Retardation and Developmental Disabilities",
Oct-83,Death Investigations, In the Matter of Henry McGee - A Resident of J. N. Adams Developmental Center,"This patient had several serious medical problems, was subjected to unnecessary major abdominal surgery at the age of 63 without benefit of a careful pre-operative diagnostic workup and a second surgical consultation. The major deficiency in this case, however, was the failure to effect a more timely transfer of the patient to a hospital when projectile vomiting, indicate of intestinal obstruction, was noted.",
Feb-81,Death Investigations, In the Matter of Peter Breen - A Patient at St. Lawrence Psychiatric Center," In the process of staff restraining this patient and placing him in a tray chair, the patient apparently suffered fractures of the ribs and sternum. The report determined that the facility staff lacked a team approach and consistency in their interactions with the patients, and improper methods were used in restraining this violent patient with the tray chair, an unauthorized restraint, in violation of the Mental Hygiene Law. No responsibility was clearly assigned to one treating physician as the focal point for all patient-related communications and continuity of care responsibility for this patient who was undergoing an acute medical episode.",
Oct-89,Quality of Care, Patient Leaves without Consent from New York State Psychiatric Centers: Myths vs. Facts,"Over the period 1981-87 there were an average of 7,242 incidents of patient leaves without consent annually from the State's 25 adult psychiatric centers. Together, these 25 centers served approximately 43,000 patients annually, with approximately 26,000 new admissions each year.",
Sep-94,Policy," Restraint and Seclusion Practices in New York State Psychiatric Facilities, ",The use of restraint and seclusion in state psychiatric centers has almost doubled over the past decade (1984-1993) and has been associated with over 100 patients' deaths over that period. The Commission found wide variations in the frequency with which these interventions were used by psychiatric facilities in New York State.,
5/1/1990,Advocacy, Strengthening Patient Advocacy (MHIS): A Review of the Mental Health Information Service," This is a report on the Commission study of the organization and operations of the Mental Health Information Service with a view to providing the Executive, Legislative and Judicial branches of government with recommendations for improving the effectiveness of the Service.",
Jun-94,Advocacy, Survey of Access to New York State Courts for Individuals with Disabilities,"Four years after passage of the national Americans with Disabilities Act (ADA) prohibiting discrimination in access to public accommodations, only 8 percent of the courtrooms in New York State are fully accessible to people with disabilities. A survey of 275 courts in 40 counties throughout the state by the Commission in conjunction with the State Bar Association Committee on Mental and Physical Disabilities found limited accessibility for persons with visual and hearing impairments, and few accommodations for persons with mental disabilities. The survey report makes recommendations for the court system to fully comply with the requirements of the ADA, which prohibits discrimination on the basis of disability in access to the services, programs and activities of state and local governments.",
