Court Monitor/Independent Reviewer,,,,
,"United States v. New York, O'Toole v. Cuomo, United States District Court for the Eastern District of New York. Mr. Sundram serves as the Independent Reviewer for the federal court overseeing the implementation of a Settlement Agreement in a class action which offers approximately 4000 persons with mental illness residing in 22 adult homes in NYC the opportunity to move to supported housing with support services.  https://www.bazelon.org/otoole-v-cuomo/. The Independent Reviewer team members are Thomas Harmon (https://www.linkedin.com/in/tom-harmon-b7a81414/), Stephen Hirschhorn (https://www.linkedin.com/in/steve-hirschhorn-96273353/), Mindy Becker and Dr. Kathleeen O'Hara (https://www.linkedin.com/in/kathleen-o-hara-086237131/).",,,
,,,,
Date,Document,Description,URL,
10/1/15,2015 Annual Report,Progress report on implementation of Settlement Agreement requiring that a class of approximately 4000 mentally ill residents of adult homes in New York City be provided with a choice to move to supported housing in the community. This report describes the initial actions by the State Defendants to implement the settlement agreement and the rate of progress in the first year.  It identifies numerous actions that would be required to increase the pace of implementation to achieve compliance with the targets established in that agreement.,https://www.researchgate.net/publication/283121339_O'Toole_v_Cuomo_Independent_Reviewer's_First_Annual_Report_filed_with_the_United_States_District_Court,
4/1/16,2016 Annual Report,"This report describes the experiences of a sample of class members who transitioned to the community, as well as exploring various obstacles class members encounter after expressing an interest in moving to community housing.",https://www.researchgate.net/publication/300006038_O'Toole_v_Cuomo_Independent_Reviewer's_Second_Annual_Report,
4/1/17,2017 Annual Report,"Report on progress in Implementing a Settlement Agreement between the US Department of Justice and a class of Private Plaintiffs vs. the State of New York, which requires that approximately 4000 residents of adult homes with serious mental illness be offered the opportunity to move to supported housing in the community, with wrap around services as needed. ",https://www.researchgate.net/publication/315756414_O'Toole_v_Cuomo_--Independent_Reviewer's_Third_Annual_Report,
4/1/18,2018 Annual Report,"This report again describes the experiences of a sample of class members who had moved to the community, including some of the difficulties they experienced.  It also reports on class members in Assisted Living Programs within adult homes, which are intended to provide an enriched level of care.  It identifies the need for formal quality assurance mechanisms to be implemented by the State.",https://www.researchgate.net/publication/392509982_145-Independent_Reviewer's_Fourth_Annual_Report_40218,
4/1/19,2019 Annual Report,"During this report year, the parties agreed to a Supplemental Agreement which made significant changes to the Settlement Agreement including streamlining the assessment process, expanding the incident reporting and review process and creating a peer bridger program at each of the impacted adult homes.   This report describes the effect of the changes during the approximately six months they had been in effect.  Appendices to the report address Class Members Who Did Not Transition, after going through the process for approval; Quality Assurance, and Level II Housing (24 hour supervised housing).",https://www.researchgate.net/publication/392509555_163-Independent_Reviewer's_Fifth_Annual_Report_40319,
7/9/21,Review of Pre-Admission Screening,This report describes the process used to screen potential admissions to impacted adult homes for Serious Mental Illness and the weaknesses in the screening process that permits such admissions despite a State policy to prohibit them. ,Independent Review's  Report on review of preadmission screening.pdf,
7/19/19,Defendant's Incident Reviews,This report assesses the State's compliance with the requirements for implementing an incident reporting and investigation process for class members who have moved from adult homes to supported housing in the community. ,in  folder,
4/1/20,2020 Annual Report,"This report describes the continuing structural and process problems in implementation of the Settlement Agreement and the slowing pace of transitions to the community against the backdrop of the developing COVID-19 pandemic. It includes the Third Transition Metric Report, as well as the state of compliance with other metrics incorporated into the Supplemental Agreement in 2018.  This report also includes a description of the Housing Procurement process used by housing contractors to locate apartments for class members, as well as a report on the implementation of the Peer Bridger program.",https://www.researchgate.net/publication/340418147_Independent_Reviewer's_Sixth_Annual_Report,
9/1/20,Impact of COVID-19 on Class Members,This report submitted to the United States District Court describes the impact of restrictions on visitation upon a class of mentally ill residents of 22 adult homes (congregate care board and care facilities) in New York City. These restrictions on access to the facilities were imposed in the wake of the COVID-19 pandemic and limited the ability of families and support professionals to meet the residents in person since Mid-March 2020.,https://www.researchgate.net/publication/344847235_Impact_of_COVID-19_on_class_members,
4/1/21,2021 Annual Report,"This report describes the continuing decline in the number of class members transitioning each year since 2017, exacerbated by the COVID-19 pandemic. The extraordinary conditions led the parties and the court to agree to suspend the Transition Metric Reports until February 2022.  This report also discusses the closure of the Brooklyn Terrace Home for Adults and the transfer of its residents to supported housing and other congregate care facilities.  It also discusses an investigation by the Independent Reviewer into complaints of Discouragement and Interference which culminated in a Settlement Agreement with the Wavecrest Home for Adults on March 17, 2021.",https://www.researchgate.net/publication/392509406_Independent_Reviewer's_Seventh_Annual_Report,
